,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
139,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",33
140,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",50
141,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",93
142,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",124
143,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",188
144,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",248
145,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",311
146,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",359
147,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",455
148,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",491
149,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",493
150,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",506
151,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",522
152,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",557
153,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",595
154,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",652
155,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",697
156,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",763
157,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",818
158,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",858
159,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",911
160,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",902
161,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",873
162,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",873
163,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",879
164,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",851
165,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",834
166,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",773
167,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",744
168,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",750
169,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",762
170,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3500
171,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3106
172,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2369
173,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2379
174,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2104
175,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2079
176,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1893
177,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1691
178,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1538
179,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1437
180,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1364
181,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1376
182,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1490
183,0 Alle kilder,VT0 I alt,K90 Perfluorkarboner (PFK),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",945
